accion,threads,tiempo
Máximo,3,0.215300
Máximo,3,0.250900
Máximo,3,0.236400
Máximo,3,0.237900
Máximo,3,0.244700
Máximo,3,0.236000
Máximo,3,0.226300
Máximo,3,0.212800
Máximo,3,0.238100
Máximo,3,0.250100
Máximo,3,0.246300
Máximo,3,0.233000
Máximo,3,0.230700
Máximo,3,0.220400
Máximo,3,0.234500
Máximo,3,0.234900
Máximo,3,0.247600
Máximo,3,0.246500
Máximo,3,0.237500
Máximo,3,0.213800
Máximo,3,0.259400
Máximo,3,0.227900
Máximo,3,0.239300
Máximo,3,0.228600
Máximo,3,0.240800
Máximo,3,0.239100
Máximo,3,0.238900
Máximo,3,0.220100
Máximo,3,0.199100
Máximo,3,0.238200
Máximo,3,0.206700
Máximo,3,0.204400
Máximo,3,0.231500
Máximo,3,0.218200
Máximo,3,0.232500
Máximo,4,0.219500
Máximo,4,0.208600
Máximo,4,0.202500
Máximo,4,0.222000
Máximo,4,0.209500
Máximo,4,0.213700
Máximo,4,0.205100
Máximo,4,0.216100
Máximo,4,0.223500
Máximo,4,0.206500
Máximo,4,0.237300
Máximo,4,0.216800
Máximo,4,0.208800
Máximo,4,0.210500
Máximo,4,0.212000
Máximo,4,0.226800
Máximo,4,0.247100
Máximo,4,0.227000
Máximo,4,0.224700
Máximo,4,0.215600
Máximo,4,0.206300
Máximo,4,0.225600
Máximo,4,0.232800
Máximo,4,0.208300
Máximo,4,0.223000
Máximo,4,0.211500
Máximo,4,0.225800
Máximo,4,0.225200
Máximo,4,0.218900
Máximo,4,0.199500
Máximo,4,0.214100
Máximo,4,0.213700
Máximo,4,0.205600
Máximo,4,0.234500
Máximo,4,0.211400
Máximo,4,0.213500
Máximo,4,0.219200
Máximo,4,0.203700
Máximo,4,0.220400
Máximo,4,0.221400
Máximo,4,0.266400
Máximo,4,0.189400
Máximo,4,0.269800
Máximo,4,0.233400
Máximo,4,0.220100
Máximo,4,0.229900
Máximo,4,0.215100
Máximo,4,0.233800
Máximo,4,0.204300
Máximo,4,0.203400
Máximo,4,0.241800
Máximo,4,0.237000
Máximo,4,0.230500
Máximo,4,0.225300
Máximo,4,0.228800
Máximo,4,0.230900
Máximo,4,0.204200
Máximo,4,0.221600
Máximo,4,0.217000
Máximo,4,0.291400
Máximo,4,0.276500
Máximo,4,0.263000
Máximo,4,0.252800
Máximo,4,0.280200
Máximo,4,0.223600
Máximo,4,0.233800
Máximo,4,0.228600
Máximo,4,0.372900
Máximo,4,0.266000
Máximo,4,0.251600
Máximo,4,0.227000
Máximo,4,0.255600
Máximo,4,0.219600
Máximo,4,0.224300
Máximo,4,0.228900
Máximo,4,0.258700
Máximo,4,0.269200
Máximo,4,0.276700
Máximo,4,0.229500
Máximo,4,0.264300
Máximo,4,0.235700
Máximo,4,0.224000
Máximo,4,0.212400
Máximo,4,0.276000
Máximo,4,0.276600
Máximo,4,0.266400
Máximo,4,0.200700
Máximo,4,0.269700
Máximo,4,0.238700
Máximo,4,0.219700
Máximo,4,0.246800
Máximo,4,0.292900
Máximo,4,0.224100
Máximo,4,0.233900
Máximo,4,0.223100
Máximo,4,0.270800
Máximo,4,0.229700
Máximo,4,0.269100
Máximo,4,0.259800
Máximo,4,0.249000
Máximo,5,0.263800
Máximo,5,0.242300
Máximo,5,0.275800
Máximo,5,0.312100
Máximo,5,0.260500
Máximo,5,0.251500
Máximo,5,0.321100
Máximo,5,0.284300
Máximo,5,0.240200
Máximo,5,0.265500
Máximo,5,0.305000
Máximo,5,0.313100
Máximo,5,0.285600
Máximo,5,0.254100
Máximo,5,0.359600
Máximo,5,0.283300
Máximo,5,0.252900
Máximo,5,0.278400
Máximo,5,0.302400
Máximo,5,0.256000
Máximo,5,0.251000
Máximo,5,0.262800
Máximo,5,0.391600
Máximo,5,0.292900
Máximo,5,0.240600
Máximo,5,0.262600
Máximo,5,0.253900
Máximo,5,0.283100
Máximo,5,0.271400
Máximo,5,0.252000
Máximo,5,0.338700
Máximo,5,0.273600
Máximo,5,0.259500
Máximo,5,0.276000
Máximo,5,0.245800
Máximo,5,0.280000
Máximo,5,0.251200
Máximo,5,0.236500
Máximo,5,0.213800
Máximo,5,0.297600
Máximo,5,0.243800
Máximo,5,0.272200
Máximo,5,0.244300
Máximo,5,0.314600
Máximo,5,0.250000
Máximo,5,0.232300
Máximo,5,0.232100
Máximo,5,0.338800
Máximo,5,0.363000
Máximo,5,0.275500
Máximo,5,0.249600
Máximo,5,0.280600
Máximo,5,0.255900
Máximo,5,0.236700
Máximo,5,0.252200
Máximo,5,0.313000
Máximo,5,0.298500
Máximo,5,0.250500
Máximo,5,0.235600
Máximo,5,0.263100
Máximo,5,0.231500
Máximo,5,0.230500
Máximo,5,0.229500
Máximo,5,0.279300
Máximo,5,0.316200
Máximo,5,0.274900
Máximo,5,0.294500
Máximo,5,0.258900
Máximo,5,0.242000
Máximo,5,0.256600
Máximo,5,0.303900
Máximo,5,0.405900
Máximo,5,0.258300
Máximo,5,0.252100
Máximo,5,0.278700
Máximo,5,0.271000
Máximo,5,0.270800
Máximo,5,0.263200
Máximo,5,0.325500
Máximo,5,0.307100
Máximo,5,0.295000
Máximo,5,0.249500
Máximo,5,0.297500
Máximo,5,0.264500
Máximo,5,0.261400
Máximo,5,0.238100
Máximo,5,0.265200
Máximo,5,0.354600
Máximo,5,0.354700
Máximo,5,0.251100
Máximo,5,0.287000
Máximo,5,0.243400
Máximo,5,0.234500
Máximo,5,0.239600
Máximo,5,0.297700
Máximo,5,0.261200
Máximo,5,0.285700
Máximo,5,0.315300
Máximo,5,0.265600
Máximo,5,0.267200
Máximo,6,0.260800
Máximo,6,0.249000
Máximo,6,0.242400
Máximo,6,0.259900
Máximo,6,0.315900
Máximo,6,0.346200
Máximo,6,0.262400
Máximo,6,0.238300
Máximo,6,0.249100
Máximo,6,0.249200
Máximo,6,0.246100
Máximo,6,0.238000
Máximo,6,0.264000
Máximo,6,0.284400
Máximo,6,0.291400
Máximo,6,0.249600
Máximo,6,0.244200
Máximo,6,0.252500
Máximo,6,0.307900
Máximo,6,0.271000
Máximo,6,0.244800
Máximo,6,0.293000
Máximo,6,0.291800
Máximo,6,0.293600
Máximo,6,0.256300
Máximo,6,0.244300
Máximo,6,0.256100
Máximo,6,0.251200
Máximo,6,0.250600
Máximo,6,0.240600
Máximo,6,0.241100
Máximo,6,0.293100
Máximo,6,0.289400
Máximo,6,0.285900
Máximo,6,0.248300
Máximo,6,0.252700
Máximo,6,0.261200
Máximo,6,0.234500
Máximo,6,0.258900
Máximo,6,0.311800
Máximo,6,0.275100
Máximo,6,0.289400
Máximo,6,0.255600
Máximo,6,0.248600
Máximo,6,0.246800
Máximo,6,0.234700
Máximo,6,0.242400
Máximo,6,0.244100
Máximo,6,0.284600
Máximo,6,0.352400
Máximo,6,0.308400
Máximo,6,0.260200
Máximo,6,0.260100
Máximo,6,0.247800
Máximo,6,0.248800
Máximo,6,0.284200
Máximo,6,0.264000
Máximo,6,0.256700
Máximo,6,0.269700
Máximo,6,0.253000
Máximo,6,0.261700
Máximo,6,0.261200
Máximo,6,0.283900
Máximo,6,0.299300
Máximo,6,0.240700
Máximo,6,0.260900
Máximo,6,0.258700
Máximo,6,0.333900
Máximo,6,0.254600
Máximo,6,0.274800
Máximo,6,0.238000
Máximo,6,0.244300
Máximo,6,0.232000
Máximo,6,0.286800
Máximo,6,0.264100
Máximo,6,0.246800
Máximo,6,0.286600
Máximo,6,0.275800
Máximo,6,0.310000
Máximo,6,0.243400
Máximo,6,0.244200
Máximo,6,0.288500
Máximo,6,0.298600
Máximo,6,0.374100
Máximo,6,0.339400
Máximo,6,0.387500
Máximo,6,0.436600
Máximo,6,0.350200
Máximo,6,0.341500
Máximo,6,0.368400
Máximo,6,0.344500
Máximo,6,0.326300
Máximo,6,0.353600
Máximo,6,0.367300
Máximo,6,0.423600
Máximo,6,0.336900
Máximo,6,0.350600
Máximo,6,0.368300
Máximo,6,0.351800
Máximo,6,0.342200
Máximo,7,0.426100
Máximo,7,0.388600
Máximo,7,0.472100
Máximo,7,0.419200
Máximo,7,0.417100
Máximo,7,0.404200
Máximo,7,0.349100
Máximo,7,0.259400
Máximo,7,0.309600
Máximo,7,0.410400
Máximo,7,0.256600
Máximo,7,0.416400
Máximo,7,0.297200
Máximo,7,0.298000
Máximo,7,0.265800
Máximo,7,0.278900
Máximo,7,0.245700
Máximo,7,0.336000
Máximo,7,0.304500
Máximo,7,0.250600
Máximo,7,0.389900
Máximo,7,0.344100
Máximo,7,0.296000
Máximo,7,0.290800
Máximo,7,0.286100
Máximo,7,0.255000
Máximo,7,0.293500
Máximo,7,0.285300
Máximo,7,0.255300
Máximo,7,0.289900
Máximo,7,0.357700
Máximo,7,0.382600
Máximo,7,0.403200
Máximo,7,0.254600
Máximo,7,0.245800
Máximo,7,0.278200
Máximo,7,0.292700
Máximo,7,0.250900
Máximo,7,0.283500
Máximo,7,0.301700
Máximo,7,0.342600
Máximo,7,0.304600
Máximo,7,0.260400
Máximo,7,0.236500
Máximo,7,0.251400
Máximo,7,0.277200
Máximo,7,0.274000
Máximo,7,0.252100
Máximo,7,0.377000
Máximo,7,0.364700
Máximo,7,0.308000
Máximo,7,0.269200
Máximo,7,0.256500
Máximo,7,0.261600
Máximo,7,0.309600
Máximo,7,0.335300
Máximo,7,0.267000
Máximo,7,0.278200
Máximo,7,0.249900
Máximo,7,0.300700
Máximo,7,0.281300
Máximo,7,0.271100
Máximo,7,0.249500
Máximo,7,0.368200
Máximo,7,0.302100
Máximo,7,0.253400
Máximo,7,0.229800
Máximo,7,0.248400
Máximo,7,0.429100
Máximo,7,0.360200
Máximo,7,0.350100
Máximo,7,0.281400
Máximo,7,0.351700
Máximo,7,0.301300
Máximo,7,0.271000
Máximo,7,0.242700
Máximo,7,0.247200
Máximo,7,0.248400
Máximo,7,0.358700
Máximo,7,0.302900
Máximo,7,0.263300
Máximo,7,0.244600
Máximo,7,0.293300
Máximo,7,0.268300
Máximo,7,0.255700
Máximo,7,0.243400
Máximo,7,0.247900
Máximo,7,0.273400
Máximo,7,0.277600
Máximo,7,0.364200
Máximo,7,0.409500
Máximo,7,0.258300
Máximo,7,0.362200
Máximo,7,0.272100
Máximo,7,0.251300
Máximo,7,0.293300
Máximo,7,0.278400
Máximo,7,0.415100
Máximo,7,0.294700
Máximo,7,0.292600
Máximo,8,0.316600
Máximo,8,0.455500
Máximo,8,0.308500
Máximo,8,0.315400
Máximo,8,0.311800
Máximo,8,0.348800
Máximo,8,0.473400
Máximo,8,0.321800
Máximo,8,0.339800
Máximo,8,0.317400
Máximo,8,0.451400
Máximo,8,0.287700
Máximo,8,0.297700
Máximo,8,0.273800
Máximo,8,0.302700
Máximo,8,0.316100
Máximo,8,0.332900
Máximo,8,0.443500
Máximo,8,0.311400
Máximo,8,0.337600
Máximo,8,0.291500
Máximo,8,0.291000
Máximo,8,0.360100
Máximo,8,0.307300
Máximo,8,0.296200
Máximo,8,0.290000
Máximo,8,0.468500
Máximo,8,0.352600
